Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 08:30:23 CEST 2021
Mo 19. Apr 08:30:23 CEST 2021
0
Hostname :  wr17
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[17800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -1.0152 	 t: 43.49 sec
[17900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7462 	 t: 43.67 sec
[18000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7910 	 t: 43.29 sec
[18100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9030 	 t: 43.27 sec
[18200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7781 	 t: 43.00 sec
[18300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6552 	 t: 43.59 sec
[18400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7680 	 t: 43.14 sec
[18500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8541 	 t: 43.40 sec
[18600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7673 	 t: 43.54 sec
[18700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6883 	 t: 40.40 sec
[18800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9454 	 t: 38.42 sec
[18900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7995 	 t: 38.63 sec
[19000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8816 	 t: 38.45 sec
[19100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8428 	 t: 43.08 sec
[19200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8237 	 t: 42.93 sec
[19300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7797 	 t: 43.51 sec
[19400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8284 	 t: 43.04 sec
[19500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8223 	 t: 43.59 sec
[19600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9805 	 t: 43.24 sec
[19700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -1.0151 	 t: 43.38 sec
[19800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9140 	 t: 43.38 sec
[19900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8468 	 t: 43.59 sec
[20000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6627 	 t: 43.24 sec
[20100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7544 	 t: 43.41 sec
[20200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -1.0235 	 t: 40.44 sec
[20300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7524 	 t: 38.62 sec
[20400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9445 	 t: 38.67 sec
[20500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8571 	 t: 38.57 sec
[20600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6661 	 t: 42.55 sec
