Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 08:48:50 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[11000]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.6579 	 reg_loss: 0.0477 	 lambda: 0.20 	 t: 50.38 sec
[11100]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.4589 	 reg_loss: 0.0592 	 lambda: 0.20 	 t: 49.58 sec
[11200]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.2496 	 reg_loss: 0.0657 	 lambda: 0.20 	 t: 49.71 sec
[11300]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.3800 	 reg_loss: 0.0627 	 lambda: 0.20 	 t: 49.67 sec
[11400]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.4840 	 reg_loss: 0.0567 	 lambda: 0.20 	 t: 49.67 sec
[11500]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.3528 	 reg_loss: 0.0658 	 lambda: 0.20 	 t: 49.58 sec
[11600]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.5461 	 reg_loss: 0.0519 	 lambda: 0.20 	 t: 49.68 sec
[11700]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.4702 	 reg_loss: 0.0511 	 lambda: 0.20 	 t: 49.73 sec
[11800]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.4893 	 reg_loss: 0.0591 	 lambda: 0.20 	 t: 49.68 sec
[11900]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.5416 	 reg_loss: 0.0518 	 lambda: 0.20 	 t: 49.62 sec
[12000]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.5900 	 reg_loss: 0.0496 	 lambda: 0.20 	 t: 49.65 sec
[12100]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.5282 	 reg_loss: 0.0574 	 lambda: 0.20 	 t: 49.64 sec
[12200]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.6090 	 reg_loss: 0.0479 	 lambda: 0.20 	 t: 49.67 sec
[12300]  RMSE: 0.1013 	 NLL: -1.6675 	 loss: -1.3885 	 reg_loss: 0.0624 	 lambda: 0.20 	 t: 49.61 sec
[12400]  RMSE: 0.1013 	 NLL: -1.6929 	 loss: -1.6837 	 reg_loss: 0.0460 	 lambda: 0.20 	 t: 50.39 sec
[12500]  RMSE: 0.1013 	 NLL: -1.6929 	 loss: -1.5323 	 reg_loss: 0.0546 	 lambda: 0.20 	 t: 49.65 sec
[12600]  RMSE: 0.1013 	 NLL: -1.6929 	 loss: -1.6828 	 reg_loss: 0.0459 	 lambda: 0.20 	 t: 49.62 sec
[12700]  RMSE: 0.0943 	 NLL: -1.6929 	 loss: -1.6471 	 reg_loss: 0.0415 	 lambda: 0.20 	 t: 49.98 sec
[12800]  RMSE: 0.0943 	 NLL: -1.6929 	 loss: -1.5226 	 reg_loss: 0.0539 	 lambda: 0.20 	 t: 49.68 sec
[12900]  RMSE: 0.0943 	 NLL: -1.7093 	 loss: -1.7007 	 reg_loss: 0.0427 	 lambda: 0.20 	 t: 50.31 sec
[13000]  RMSE: 0.0943 	 NLL: -1.7093 	 loss: -1.6934 	 reg_loss: 0.0453 	 lambda: 0.20 	 t: 49.70 sec
[13100]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.7461 	 reg_loss: 0.0431 	 lambda: 0.20 	 t: 50.24 sec
[13200]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.5211 	 reg_loss: 0.0599 	 lambda: 0.20 	 t: 49.65 sec
[13300]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.4116 	 reg_loss: 0.0625 	 lambda: 0.20 	 t: 49.73 sec
[13400]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.7200 	 reg_loss: 0.0458 	 lambda: 0.20 	 t: 49.67 sec
[13500]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.5898 	 reg_loss: 0.0519 	 lambda: 0.20 	 t: 49.67 sec
[13600]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.6670 	 reg_loss: 0.0427 	 lambda: 0.20 	 t: 49.67 sec
[13700]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.3630 	 reg_loss: 0.0662 	 lambda: 0.20 	 t: 49.64 sec
[13800]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.6516 	 reg_loss: 0.0474 	 lambda: 0.20 	 t: 49.63 sec
[13900]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.5719 	 reg_loss: 0.0530 	 lambda: 0.20 	 t: 49.62 sec
[14000]  RMSE: 0.0943 	 NLL: -1.7547 	 loss: -1.3328 	 reg_loss: 0.0682 	 lambda: 0.20 	 t: 49.61 sec
