Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 23:13:16 CEST 2021
Hostname :  wr17
####### trying gpu
#######  Training Laplace
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[13600] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3525 	 t: 25.76 sec
[13700] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3314 	 t: 25.63 sec
[13800] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.0885 	 t: 25.70 sec
[13900] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.1682 	 t: 25.64 sec
[14000] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.2859 	 t: 25.76 sec
[14100] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3367 	 t: 25.45 sec
[14200] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.4127 	 t: 25.55 sec
[14300] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.4219 	 t: 25.67 sec
[14400] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3600 	 t: 25.74 sec
[14500] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.4770 	 t: 25.57 sec
[14600] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3130 	 t: 25.73 sec
[14700] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3128 	 t: 25.54 sec
[14800] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.4371 	 t: 25.65 sec
[14900] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3233 	 t: 25.51 sec
[15000] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.5146 	 t: 25.43 sec
[15100] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4210 	 t: 25.84 sec
[15200] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.2733 	 t: 25.56 sec
[15300] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4809 	 t: 25.73 sec
[15400] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.2850 	 t: 25.35 sec
[15500] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4326 	 t: 25.49 sec
[15600] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5947 	 t: 25.54 sec
[15700] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.2177 	 t: 25.53 sec
[15800] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4975 	 t: 25.61 sec
[15900] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5503 	 t: 25.56 sec
[16000] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.6072 	 t: 25.60 sec
[16100] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4852 	 t: 25.66 sec
[16200] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3253 	 t: 25.55 sec
[16300] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3825 	 t: 25.51 sec
[16400] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.1713 	 t: 25.45 sec
[16500] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.0347 	 t: 25.52 sec
[16600] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4824 	 t: 25.44 sec
[16700] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4845 	 t: 25.48 sec
[16800] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4959 	 t: 25.36 sec
[16900] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3955 	 t: 25.61 sec
[17000] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.0726 	 t: 25.42 sec
[17100] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.5067 	 t: 25.55 sec
[17200] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.1160 	 t: 25.50 sec
[17300] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.4663 	 t: 25.49 sec
[17400] 	 RMSE: 0.0977 	 NLL: -0.7735 	 train_loss: -1.3507 	 t: 25.42 sec
